status = E
*****************RX_Mode start******************************R
 82 73 56 45 C3 : 04 A3 05 3C B7 BA 9F 55 F7 57 AA AF BA AA F7 BF 7F 77 FF BF CF B7 6F 6E 7F FF B5 6D 56 DB AB B5 
 82 73 56 45 C3 : 04 A3 05 3C B7 52 BF 56 34 46 AB 8D B9 96 C5 CD 4A B4 BD 42 D4 25 B2 D5 14 45 A8 A5 66 D2 35 29 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5A C5 23 16 2C 14 A5 44 D5 55 EA AA AA AA AA AE FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D B9 50 9F 6D 74 CF 1A AB 55 2D CB 69 6F D5 A5 5B 4A EA A8 DB C9 5D 96 6D 64 D6 24 59 
 82 73 56 45 C3 : 05 A3 36 0D BD A9 17 4A 85 D6 D1 77 57 6C ED 51 6A 4B CD 69 33 D5 87 61 4B 55 AD AA 99 EA AC 15 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D BD 5D A5 7B 45 59 25 55 55 41 EA 2A AA AA AA AE D6 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E BB B7 59 8D 6A B2 CA 4A AB 7B BE 52 B6 B7 41 5B 3B 25 56 52 D5 FE B5 55 25 29 48 AA 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 5D 49 56 B2 0C 15 4A 55 54 01 48 0A AA AA AA AE FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F B4 AD 76 4B 5D 5B D0 6A B1 2C AA A5 BB 55 35 26 D5 56 B7 52 33 2B DB 53 6B 15 8B 4A 
 82 73 56 45 C3 : 07 A3 50 6F B9 D5 CA 4C 5A AE B4 92 D9 28 BE BA 4E D5 5A 4E C2 D2 AB 4A E3 72 A9 AB A7 9E BE C9 
 82 73 56 45 C3 : 07 A3 50 6F B2 8A B6 52 52 14 95 2F 6B A2 95 55 FA C7 79 DE EA DC B5 F4 EB F5 6B AB BD DE BE D6 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B3 14 A5 65 AA AF A5 55 55 55 EA AA AA AA AA AE F6 22 4E 43 28 54 06 
 82 73 56 45 C3 : 04 A3 05 3C B7 EE 89 CA AD 6E B2 2E 36 54 79 F1 80 45 56 7F DD C1 9A 08 52 DB 82 F9 F8 58 DB BC 
 82 73 56 45 C3 : 04 A3 05 3C B2 CF A8 DA 56 94 54 A2 D8 CA 57 4C 86 A5 AB DD 5D 72 B2 FE 75 EF FF 21 DD DD 1D 4A 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5D 35 44 88 88 4E A5 55 55 55 EA AA AA AA AA AE FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D BD AC F5 3D 55 5A DD D5 5D 3B 6E DD B5 4B 6B D4 B3 AE D3 3F 6B AA DA EB A9 6D 69 DA 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B2 C9 56 A9 15 56 95 55 54 01 EA AA AA AA AA FE FE 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E B6 37 A2 D6 AD 3C D5 37 E2 79 EA DA B9 B7 E9 FD 6D 4E 49 49 8D 2D 87 85 D9 3B 95 CD 
 82 73 56 45 C3 : 06 A3 63 5E BD 7A F2 EB 63 54 33 34 E4 4A A8 54 A4 09 48 57 2D 6D 06 AA BD A5 71 E2 3B 55 CA D5 
 82 73 56 45 C3 : 06 A3 63 5E B9 14 8D 66 59 12 C7 48 E4 BF 7A BB 7D F3 2F 55 9B 29 AD 55 7D A5 7A 79 B5 19 5C DC 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 50 00 00 83 5B EC 8B 8D 8F 9F 31 4B C7 07 21 CF 70 60 85 95 4C 9B 05 

